id,baseDomain,originAttributes,name,value,host,path,expiry,lastAccessed,creationTime,isSecure,isHttpOnly,inBrowserElement,sameSite,rawSameSite
2,google.com,"",NID,193=GNLpAeTIYVXFwxVh8-4OTpKJIuvcf6twTdggrrPzGjDuZMPSdJbmRQvwcr0bNyq7EdTvA7_a0NBpfg9jwhg0jaqR50LRYtS5CYMQTjk76OfpVFa9LLLUCpQipabhRUf4yr0F5kN1-DCcSRTfU-dMf6i3ovUtbOV2BgXZKBwamdg,.google.com,/,1592008275,1576197738306000,1576197076068000,0,1,0,0,0
3,nremt.org,"",_ga,GA1.2.1486217376.1576197076,.nremt.org,/,1639269076,1576197076303000,1576197076303000,0,0,0,0,0
4,nremt.org,"",_gid,GA1.2.1065186409.1576197076,.nremt.org,/,1576283476,1576197076305000,1576197076305000,0,0,0,0,0
5,nremt.org,"",_gat,1,.nremt.org,/,1576197136,1576197076358000,1576197076358000,0,0,0,0,0
6,countingdownto.com,"",__cfduid,d4c86a978dbf34280b4ce6f7387a30a371576197076,.countingdownto.com,/,1578789076,1576197077473000,1576197077473000,0,1,0,0,0
7,wikipedia.org,"",WMF-Last-Access,13-Dec-2019,www.wikipedia.org,/,1578960000,1576197315510000,1576197315510000,1,1,0,0,0
8,wikipedia.org,"",WMF-Last-Access-Global,13-Dec-2019,.wikipedia.org,/,1578960000,1576197315510000,1576197315510001,1,1,0,0,0
9,cambridge.org,"",__cfduid,db434b90d94e2e23ac575a1ccf3df829f1576197334,.cambridge.org,/,1578789334,1576197335171000,1576197335155000,0,1,0,0,0
10,cambridge.org,"",__atuvc,1%7C50,www.cambridge.org,/,1610498135,1576197335378000,1576197335378000,0,0,0,0,0
11,cambridge.org,"",__atuvs,5df2dcd78d92e358000,www.cambridge.org,/,1576199135,1576197335379000,1576197335379000,0,0,0,0,0
18,addthis.com,"",na_id,2019121324353457300571314517,.addthis.com,/,1609893335,1576197739622000,1576197335490005,1,0,0,0,0
20,crazyegg.com,"",__cfduid,db1ad0b4cee361c55fbc1c19aef58941c1576197334,.crazyegg.com,/,1578789334,1576197335568000,1576197335568000,0,1,0,0,0
21,cambridge.org,"",_ga,GA1.2.816295604.1576197336,.cambridge.org,/,1639269335,1576197335732000,1576197335732000,0,0,0,0,0
